Abbr,Out-strength,In-strength
Dem,12.125355379108912,4.298031206380616
DepO,17.509395999548445,4.362302232443267
PTSD,10.529129791318331,3.622095736116823
Per,8.24305505991014,10.397913182521846
BPD,8.508112739494994,8.686429097309185
Drg,9.680664512158149,8.041444712978242
Adj,3.342808450664849,3.003921204434018
Sui,6.424233268615491,10.611483033566442
AnxO,3.46569497684875,3.830855780570088
Dev,6.0500168434448565,8.254053135168952
Imp,4.535762924554019,8.021219548876708
Sch,8.431723365693275,9.391523787506971
ADHD,3.421247000312071,6.272543548569899
MDD,2.169673007328381,4.791395045848995
Ch,3.374321987990683,7.881319439129972
GAD,1.6925519844255539,3.258488545638729
Alc,1.3121809290793,6.090908983435456
